incident_date,airport_id,operator_id,operator,aircraft,species,damage,cost_repairs,remains_collected,remains_sent,incident_month,incident_year,time_of_day,time,runway,height,speed,phase_of_flight,ingested,effect,effect_other,sky,precipitation,birds_seen,birds_struck,size,warned,remarks,number_injuries,number_fatalities,damage_level
2000-06-05,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,6,2000,Day,,26L,0,60,Take-off Run,FALSE,None,,Overcast,None,1,1,Medium,No,MAINT INSPCTD AT ORD. NO DAMAGE NOTED THAT I KNOW OF.,,,1
2000-04-30,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,EMB-120,Unknown bird - large,N,,FALSE,FALSE,4,2000,Night,,27R,9500,190,Climb,FALSE,None,,No Cloud,None,2-10,1,Large,No,4 DUCKS. FLT 299. NO EVIDENT DMG.,,,1
2000-08-22,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - small,N,,FALSE,FALSE,8,2000,Night,,9L,200,160,Climb,TRUE,None,,No Cloud,None,,1,Small,No,NOTED ODOR IN COCKPIT AND CABIN SON AFTER LIFTOFF. DISSI[PATED WITHIN 2 MINS. INSPN. INGESTION.,,,1
2000-09-08,KATL ,DAL,(DAL) DELTA AIR LINES,B-727,Unknown bird - small,N,,FALSE,FALSE,9,2000,Day,,8L,0,140,Landing Roll,FALSE,None,,Overcast,None,1,1,Small,No,,,,1
2000-06-04,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - small,N,,FALSE,FALSE,6,2000,Night,,27R,1500,210,Climb,FALSE,Precautionary Landing,,No Cloud,None,,1,Small,No,FLT 2189. NO DMG FOUND ON INSPN,,,1
2008-12-29,KATL ,DAL,(DAL) DELTA AIR LINES,B-767-300,Unknown bird - medium,,,FALSE,FALSE,12,2008,Night,,,0,,Take-off Run,FALSE,,,,,,1,Medium,Unknown,"FLT 52 REPTD A BIRDSTRIKE ON DEPTR (ALT NOT REPTD, ASSUME 0' AGL) FLT CONT TO LFPG.",,,0
2000-07-28,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - small,N,,FALSE,FALSE,7,2000,Day,16:07,9R,150,140,Approach,FALSE,None,,No Cloud,None,1,1,Small,No,GLANCING IMPACT JUST ABOVE UPPER PITOT TUBE LHS NOSE OF A/C.,,,1
2000-02-09,KATL ,DAL,(DAL) DELTA AIR LINES,B-727,Blackbirds,N,,FALSE,FALSE,2,2000,Day,,8L,10,140,Approach,FALSE,None,,No Cloud,None,2-10,1,Small,No,FLT 588,,,1
2000-04-20,KATL ,ABX,(ABX) ABX AIR,DC-8-63,Unknown bird - small,N,,FALSE,FALSE,4,2000,Night,,,,,Approach,FALSE,None,,,,,1,Small,Unknown,BIRD HIT BELOW CENTER WINDSHLD. CLEANED & INSPCTD.,,,1
2000-09-01,KATL ,DAL,(DAL) DELTA AIR LINES,B-727-200,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,22:30,8L,1500,160,Approach,FALSE,None,,No Cloud,None,1,1,Medium,No,FOUND EVIDENCE OF STRIKE UNDER FWD L FUSELAGE BELOW CAPT SEAT. AWAITING MAINT INSPN. NO APPARENT DMG.,,,1
